name	ID	manual	auto	checked	blacklisted
mesonephric interstitial fibroblast differentiation	GO_0061266	0	1	1	0
mesonephric interstitial fibroblast development	GO_0061267	0	1	1	0
mesonephric glomerular visceral epithelial cell fate commitment	GO_0061258	0	1	1	0
mesonephric glomerular visceral epithelial cell differentiation	GO_0061256	0	1	1	0
mesonephric glomerular visceral epithelial cell development	GO_0061257	0	1	1	0
mesonephric glomerular parietal epithelial cell fate commitment	GO_0061255	0	1	1	0
mesonephric glomerular parietal epithelial cell differentiation	GO_0061253	0	1	1	0
mesonephric glomerular parietal epithelial cell development	GO_0061254	0	1	1	0
mesonephric glomerular epithelium development	GO_0061232	0	1	1	0
mesonephric glomerular epithelial cell fate commitment	GO_0061252	0	1	1	0
mesonephric glomerular epithelial cell differentiation	GO_0061250	0	1	1	0
mesonephric glomerular epithelial cell development	GO_0061251	0	1	1	0
mesonephric glomerular capillary formation	GO_0061249	0	1	1	0
mesonephric extraglomerular mesangial cell proliferation involved in mesonephros development	GO_0061225	0	1	1	0
mesonephric epithelium development	GO_0072163	0	1	1	0
mesonephric duct morphogenesis	GO_0072180	0	1	1	0
mesonephric duct formation	GO_0072181	0	1	1	0
mesonephric duct development	GO_0072177	0	1	1	0
mesonephric comma-shaped body morphogenesis	GO_0061236	0	1	1	0
